District Name,District Latitude,District Longitude,Venue Name,Venue Category,Venue Latitude,Venue Longitude
"Barona, Milan, Italy",45.43372,9.1516,Lombardia Uno - Sant'Ambrogio,Athletics & Sports,45.43182113958823,9.156674303108755
"Barona, Milan, Italy",45.43372,9.1516,Bar Max,Café,45.43799892227901,9.155306323702671
"Barona, Milan, Italy",45.43372,9.1516,Ittolittos,Brewery,45.44141411676897,9.14903663872677
"Bicocca, Milan, Italy",45.5215,9.21326,Virgin Active,Gym,45.52164732900875,9.215059742966766
"Bicocca, Milan, Italy",45.5215,9.21326,CioccolatItaliani,Ice Cream Shop,45.52231,9.215439
"Bicocca, Milan, Italy",45.5215,9.21326,Pirelli HangarBicocca,Art Gallery,45.520988361342766,9.219256699208465
"Bicocca, Milan, Italy",45.5215,9.21326,La Piadineria (Bicocca),Piadineria,45.521626,9.215821
"Bicocca, Milan, Italy",45.5215,9.21326,Spontini,Pizza Place,45.5223564725812,9.214749295232307
"Bicocca, Milan, Italy",45.5215,9.21326,Teatro degli Arcimboldi,Theater,45.51507253800618,9.213402806989384
"Bicocca, Milan, Italy",45.5215,9.21326,Premiata Trattoria Arlati dal 1936,Italian Restaurant,45.516197,9.207754
"Bicocca, Milan, Italy",45.5215,9.21326,Piazzetta Difesa delle Donne,Plaza,45.516625,9.212922
"Bicocca, Milan, Italy",45.5215,9.21326,Dino Cafè,Café,45.51524632401764,9.211264993555474
"Bicocca, Milan, Italy",45.5215,9.21326,Kukkuma Cafè,Café,45.522112508878564,9.215402131220543
"Bicocca, Milan, Italy",45.5215,9.21326,100 Montaditos,Sandwich Place,45.522431684211085,9.214766438457055
"Bicocca, Milan, Italy",45.5215,9.21326,Ristorante Arcieri,Seafood Restaurant,45.518324,9.207765
"Bicocca, Milan, Italy",45.5215,9.21326,Peppe Pizza,Pizza Place,45.520269105744525,9.222296655486382
"Bicocca, Milan, Italy",45.5215,9.21326,Starhotels Tourist,Hotel,45.52671711107507,9.212484439529586
"Bicocca, Milan, Italy",45.5215,9.21326,La Pìda Se' Parsòt,Piadineria,45.51422356690062,9.212266053593702
"Bicocca, Milan, Italy",45.5215,9.21326,San Glicerio 1 di Gianni Arcieri,Italian Restaurant,45.51823375186667,9.208574574414877
"Bicocca, Milan, Italy",45.5215,9.21326,PANetto,Bakery,45.52327062943338,9.207346802411527
"Bicocca, Milan, Italy",45.5215,9.21326,Je Suis Jambon,Pub,45.514892388136914,9.212018102108864
"Bicocca, Milan, Italy",45.5215,9.21326,UCI Cinema - Milano Bicocca,Multiplex,45.52207850153898,9.21572488595395
"Bicocca, Milan, Italy",45.5215,9.21326,Yogust,Frozen Yogurt Shop,45.522120831066225,9.215367894167075
"Bicocca, Milan, Italy",45.5215,9.21326,Osteria Delle Erbe,Restaurant,45.51452214262113,9.211418201620553
"Bicocca, Milan, Italy",45.5215,9.21326,Steak'n Shake,Steakhouse,45.52229723987614,9.21503396097973
"Bicocca, Milan, Italy",45.5215,9.21326,Ristorante San Glicerio 2,Restaurant,45.51647136717922,9.20602373334828
"Bicocca, Milan, Italy",45.5215,9.21326,Wiener Haus,German Restaurant,45.52213615724119,9.215472925568122
"Bicocca, Milan, Italy",45.5215,9.21326,Sotto Sopra,Italian Restaurant,45.51549429515775,9.21206711661335
"Bicocca, Milan, Italy",45.5215,9.21326,Panta Rei,Café,45.51423677449566,9.212257430478546
"Bicocca, Milan, Italy",45.5215,9.21326,Bicocca Village,Shopping Mall,45.52208280635412,9.21565144247411
"Bicocca, Milan, Italy",45.5215,9.21326,Blues House,Music Venue,45.521018811286986,9.223961888497474
"Bicocca, Milan, Italy",45.5215,9.21326,Dopolavoro Bicocca,Italian Restaurant,45.52095570246724,9.2192096663781
"Bicocca, Milan, Italy",45.5215,9.21326,Ristorante La Bicocca,Sardinian Restaurant,45.51570460323425,9.208542193592946
"Bicocca, Milan, Italy",45.5215,9.21326,Hotel degli Arcimboldi,Hotel,45.52569276883089,9.214998859020167
"Bicocca, Milan, Italy",45.5215,9.21326,Ristorante Mediterraneo,Diner,45.52198577109187,9.215403894289475
"Bicocca, Milan, Italy",45.5215,9.21326,La Locanda Del Santo Bevitore,Beer Bar,45.52214030192656,9.215501357239702
"Bicocca, Milan, Italy",45.5215,9.21326,Roadhouse Grill,Steakhouse,45.52173355844358,9.215264806381303
"Bicocca, Milan, Italy",45.5215,9.21326,P Quattordici,Café,45.515644014108744,9.211571653312896
"Bicocca, Milan, Italy",45.5215,9.21326,Focacceria Ligure,Sandwich Place,45.51572717738987,9.211762672737516
"Bicocca, Milan, Italy",45.5215,9.21326,Istanbul Kebab Bicocca,Kebab Restaurant,45.51558943043601,9.21194041864814
"Bicocca, Milan, Italy",45.5215,9.21326,Sushi 187,Sushi Restaurant,45.516211515750555,9.208964093346383
"Bicocca, Milan, Italy",45.5215,9.21326,Sen Sushi,Japanese Restaurant,45.52209749813473,9.215415483304119
"Bicocca, Milan, Italy",45.5215,9.21326,Unieuro,Electronics Store,45.5221397251513,9.215507660465446
"Bicocca, Milan, Italy",45.5215,9.21326,Toast To Coast,Sandwich Place,45.523679,9.219165
"Bicocca, Milan, Italy",45.5215,9.21326,Piazza della Trivulziana,Plaza,45.514968,9.212119
"Bicocca, Milan, Italy",45.5215,9.21326,Old Wild West,Steakhouse,45.52209021487146,9.215420500465699
"Bicocca, Milan, Italy",45.5215,9.21326,Al Bicocca,Breakfast Spot,45.518439126257334,9.207328036807187
"Bicocca, Milan, Italy",45.5215,9.21326,KFC,Fast Food Restaurant,45.52205961161822,9.214932918548584
"Bicocca, Milan, Italy",45.5215,9.21326,Villa Gualdina,Pizza Place,45.523012628945715,9.223601090210892
"Bicocca, Milan, Italy",45.5215,9.21326,Carrefour Market,Supermarket,45.514812,9.212531
"Bicocca, Milan, Italy",45.5215,9.21326,Esselunga,Supermarket,45.5183481966197,9.204044302625007
"Bicocca, Milan, Italy",45.5215,9.21326,Sala 5,Multiplex,45.52254116507274,9.215862456344666
"Bicocca, Milan, Italy",45.5215,9.21326,Pan Cafè,Café,45.51542938815535,9.21137361709233
"Bicocca, Milan, Italy",45.5215,9.21326,Caffè Cinquecento,Café,45.51492143976193,9.213065905297984
"Bicocca, Milan, Italy",45.5215,9.21326,Hinode Sushi,Sushi Restaurant,45.518293332428215,9.208368257596401
"Bicocca, Milan, Italy",45.5215,9.21326,Piscina Suzzani,Gym Pool,45.519742921146474,9.206201225209286
"Bicocca, Milan, Italy",45.5215,9.21326,Iuta Bistrot,Bistro,45.521166,9.219257
"Bicocca, Milan, Italy",45.5215,9.21326,OverTime,Café,45.522986,9.208067
"Bicocca, Milan, Italy",45.5215,9.21326,Easy Fit,Gym,45.52522593000368,9.2158939602994
"Bicocca, Milan, Italy",45.5215,9.21326,Sarcafè,Italian Restaurant,45.51762830223092,9.209726312707113
"Bicocca, Milan, Italy",45.5215,9.21326,Sakura Bico Sushi,Sushi Restaurant,45.51530525573804,9.212027885517498
"Bicocca, Milan, Italy",45.5215,9.21326,Milano City Ballet,Dance Studio,45.523235561311,9.220097752019843
"Bicocca, Milan, Italy",45.5215,9.21326,RistoChic,Food Court,45.52402012176553,9.220193503594729
"Bicocca, Milan, Italy",45.5215,9.21326,Enikma,Café,45.51492153065723,9.212078947957604
"Bovisa, Milan, Italy",45.50314,9.16123,SEF,Paper / Office Supplies Store,45.50322282419035,9.162137490571412
"Bovisa, Milan, Italy",45.50314,9.16123,Spirit de Milan,Ballroom,45.50667774019704,9.159743785858153
"Bovisa, Milan, Italy",45.50314,9.16123,Il Bucatino con Giardino,Italian Restaurant,45.502087574376866,9.165959421721965
"Bovisa, Milan, Italy",45.50314,9.16123,La Caveja,Piadineria,45.50309521103911,9.161968346789125
"Bovisa, Milan, Italy",45.50314,9.16123,Todo Modo,Creperie,45.50345677102336,9.161437400981443
"Bovisa, Milan, Italy",45.50314,9.16123,MiSciolgo,Ice Cream Shop,45.49921392952871,9.16530803376053
